1NO0000001	-----Case# 45602-----
1NO2000006	Found in the Steel Mill, the ammo press overlooks the hole. Load unused ammo types and raw material into the Materials Bin, and activate the nearby Ammo Press Terminal. Select the new ammo type, press it, and collect your new ammunition from the Materials Bin.
1NO2000007	Available Ammo Types:
1NO2000008	5mm
1NO2000009	5.56mm
1NO2000014	Shotgun shells
1NO2000015	Raw Material Types:
1NO2000016	Any of the above ammo
1NO2000018	Step 1: Load ammo or raw metal into Materials Bin.
1NO2000019	Step 2: Use terminal to select ammo type to produce.
1NO2000020	Step 3: Press ammo.
1NO2000021	Step 4: Retrieve newly pressed ammo from Materials Bin.
1NO2000022	Director James,
1NO2000023	I am once again writing to encourage you to resign your position following the disastrous reconstruction of the Wabash Bridge. While I understand that it was your desire to unify the city's skyline, we at the Pittsburgh Heritage Society feel that replacing the historical Wabash Bridge with a simple copy of the 10th Street structure was laziness bordering on criminal negligence on the part of the Department of Public Works. As the director of the department, the Society holds you responsible.
1NO2000024	I will be addressing this matter at the next meeting of the county administrators.
1NO2000025	---
1NO2000026	Emily Weise
1NO2000027	Pittsburgh Heritage Society
1NO2000028	Hadley, come on! You put me next to Jenkins? Seriously? I can't stand that guy. He smells like moldy feet and he chews his damn gum so loud I can't concentrate. I've been here four months longer than Bill. You should switch our desks and make him be near Jenkins.
1NO2000029	-Tom
1NO2000030	I was in your office the other day Hadley and I couldn't help noticing that there's some sort of sound coming from the wall. I think you might have mice. You should get maintenance to check that out.
1NO2000031	Mr. James,
1NO2000032	Your wife called. She wants you to pick up milk and a case of Cram on the way home. Also, Miss Stevens called and thanked you for lunch, and wanted to confirm for the same time next Tuesday.
1NO2000033	Patient: M. Cramer
1NO2000034	Symptoms: Patient complaining of myalgia as well as swollen and enlarged lymph nodes. In addition, patient reports a feeling of "unease". Suspected asymptomatic herpetic infection. Performed AR series of tests and exams. Samples sent to UMS for analysis.
1NO2000035	Patient: R. Jenkins
1NO2000036	Symptoms: Patient presents runny nose, fever, swollen feet, bad breath, headache, jaundice, and extreme perspiration. Honestly, I have no clue what's wrong with him, but performing tests seems to make his symptoms lessen.
1NO2000037	Dr. Borman asked me to look into new office space. Being this close to the mills is terrible for the patients. But he says that we can afford a new office now. Ever since the Canadian annex, we've had a lot of vets in the office, so the numbers are looking way up. War might be hell, but it's good for some of us!
1NO2000038	Troglodyte Degeneration Contagion
1NO2000039	Research by Dr. Sandra Kundanika
1NO2000040	An epidemic of the environs around the Pitt, which I have named Troglitic Degeneration Contagion (or simply "TDC") appears to be the result of intensely concentrated radiation, but the unique toxins and pollutants in the Pitt cause it to be far more pervasive.
1NO2000041	Anyone living in TDC-active areas experience skin lesions after a few weeks of exposure, which can clear up after a month or more away from infected areas. For many healthy adults, this is the full extent of the effect. TDc also seems to interact with brain chemistry in a manner that produces a number of psychological effects, even if the subject remains physically healthy. I'll need to recover more information about psychosis before attempting to enumerate those effects.
1NO2000042	Approximately 20% of adults will progress further, losing higher reasoning and motor skills over the course of years, until they have degenerated into a bestial "Trog." No subjects have ever been recovered from full degeneration, although wishful rumors persist of Trog retaining memories and recognizing the faces of loved ones.
1NO2000043	More tragic, however, is the fact that children born in TDC-active areas have a (virtually) 100% degeneration rate, often becoming feral within weeks of birth.
1NO2000044	Cure Development Progress
1NO2000046	Observational tests on isolated samples suggest the subject has a natural adaptive immunity to the so called "trog mutation." Furthermore, it appears that this immunity carries on to other forms of radiation-induced diseases - from radiation sickness to larger mutations such as the all-too-common development of a sixth toe.
1NO2000047	Attempts to isolate these effects have been slow going, due in part to the delicate nature of testing. Prospects exist for duplication, but the unique and delicate nature of the subject requires utmost care in testing.
1NO2000048	I'm not going to make it, Milly...I'm sorry.  I knew everyone thought I could do it, but they don't know what's out here.  It's not just Trogs...but others.  The Wildmen.  Kind of funny considering my nickname 'Wild Bill' back at the mill.  Finding the ingots wasn't the hard part...they're everywhere.  The problem was trying to make my way back to the mill.  My trusty sidearm came in handy more than once, but I soon found myself in more trouble than I could handle.  The gunfire alerted the Wildmen and I assume it's only a matter of time before they find me.  I'm sorry for letting everyone down at the mill.  Let everyone know I tried my hardest.   ...Bye.
1NO2000049	In response to the increased number of Protectron related injuries, I've placed a bunch of generic employee IDs next to the Factory Protectron Pod.  The thing doesn't know the difference anyway so, please, if you've forgot your ID, just use the ones on the table. Remember to return them before you leave for the day, I only have so many.
1NO2000050	- Management
1NO2000051	There have been several complaints in the past couple of weeks regarding the new Factory Protectrons installed throughout the plant. Some of you feel this is the first step in the long process of phasing out the human aspect of the plant. Please be assured that this is not our intention. The new Protectrons are here only to protect you, the workers. Also, please remember to carry your ID with you at all times. The Protectrons are programmed to make sure those present in the plant are valid employees.
1NO2000053	We've ordered three new Protectrons to be installed immediately in the plant. One will take the place of the recent Protectron that was destroyed by our very own employees, who, let me remind you, are now ex-employees. The other two will take their positions working on the assembly line.
1NO2000055	Those employees who recently took it upon themselves to incapacitate a Protectron with a bucket of water and sledgehammer have been dealt with and no longer work at the plant. Let this be a reminder to all employees. Those caught harassing and/or damaging the Factory Protectrons will be dealt with swiftly and severely.
1NO2000057	I brought it up with Management today that the men down at the plant aren't taking the new shipment of robots lightly. They fear losing their jobs and I don't blame them. It's my job to make sure morale stays high no matter what happens. It's hard to look each man in the eye and tell him that he has nothing to worry about even though I very well know he'll be unemployed in less than a month. I don't know how long I can continue to lie to these men.
1NO2000058	Tom McMullin
1NO2000059	Supply Plant Supervisor
1NO2000060	I've managed to delay a rather large shipment of Protectrons today. I told management that we've been having problems with the previous batch of robots and are not prepared for another batch anytime soon. This is complete bullshit of course, the robots work perfectly. They outperform our best worker by a factor of five. The men continue to lose morale day after day. Some blame me, but they don't understand that this is completely out of my hands. I am doing everything I can to help these men keep their jobs.
1NO2000063	Management made a surprise visit to the plant today. I guess they stopped believing what I've been telling them about the robots not performing to standards. They saw first hand the speed and efficiency of the robots. Unfortunately, they also caught two employees in the act of tearing apart a Protectron and smashing it with a sledgehammer. I was to blame of course.  The men are starting to believe I'm working closely with the managers and helping them in every way possible to save my own skin.
